Outlook, Temperature, Humidity, Windy, Play
Sunny, Hot, High, False, No
Sunny, Hot, High, True, No
Overcast, Hot, High, False, Yes
Rainy, Mild, High, False, Yes
Rainy, Cool, Normal, False, Yes
Rainy, Cool, Normal, True, No
Overcast, Cool, Normal, True, Yes
Sunny, Mild, High, False, No
Sunny, Cool, Normal, False, Yes
Rainy, Mild, Normal, False, Yes
Sunny, Mild, Normal, True, Yes
Overcast, Mild, High, True, Yes
Overcast, Hot, Normal, False, Yes
Rainy, Mild, High, True, No
Sunny, Mild, Normal, False, Yes
Rainy, Cool, Normal, False, Yes
Overcast, Cool, High, False, Yes
Sunny, Cool, High, True, Yes
Rainy, Hot, High, True, No
Rainy, Cool, High, True, No
